epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1
1,0.6467202205335101,1.8708960936138672,0.7064277528909262,0.525375939849624,0.6852351015312844,0.5150743009794585
2,0.2357228411734104,1.814599597361814,0.9135326596520471,0.6569548872180451,0.9100113792497514,0.630739676970849
3,0.1418038544842663,2.1405866239815112,0.950724033753516,0.5982142857142857,0.949369575122264,0.5893771685555393
4,0.1266268766077701,2.3149573457255763,0.9567663298260235,0.5554511278195489,0.9555101658280232,0.5530077152419378
5,0.10223207698552869,2.3707691145954914,0.9652047088238358,0.6127819548872181,0.9643006378138552,0.6008219290596818
6,0.09680204959702678,2.136611996276332,0.9684342118970726,0.5549812030075187,0.9676830710648067,0.5561267528064263
7,0.07782140808063559,2.1602457302630813,0.9741639754141056,0.6353383458646616,0.9733835128791033,0.6237882492871066
8,0.07330679657286965,1.9690102865066925,0.9751015730805292,0.6118421052631579,0.9744071898536492,0.6041733988908635
9,0.06397312539920677,2.0756219573935173,0.9769767684133764,0.6546052631578947,0.9765567867068693,0.6422154610687215
10,0.05700498276778186,2.1018681253452742,0.9810396916345453,0.5991541353383458,0.9807044221993411,0.5861491602228832
